Quarter Ended,1/31/2021,10/31/2020,7/31/2020,4/30/2020,1/31/2020,10/31/2019
Market Capitalization,48045,38015,35490,32537,48722,47932
Market Cap Growth,-1.39%,-20.69%,-26.77%,-36.40%,2.76%,-1.00%
Enterprise Value,146326,137835,139478,146359,166266,152866
PE Ratio,11.22,9.77,10.1,9.12,11.1,10.91
PS Ratio,2.42,1.98,1.88,1.85,2.52,2.46
PB Ratio,1.1,0.88,0.87,0.83,1.24,1.23
Debt / Equity Ratio,3.71,3.48,4.11,4.34,4.01,3.8
Dividend Yield,1.11%,3.12%,,2.08%,1.39%,1.05%
Payout Ratio,35.20%,102.30%,0.00%,149.50%,59.20%,57.30%
Buyback Yield / Dilution,-1.14%,1.33%,1.33%,1.33%,1.33%,
Total Shareholder Return,-0.03%,4.45%,1.33%,3.41%,2.72%,1.05%
